,channel_name,subscribers,engagement_rate,channel_heat_index
1,SRAM,232000,291.61788957806215,0.3172616886366559
2,Magyar Barbara,181000,314.4824061745515,0.3105497820961761
3,Amélia jól szórakozik,135000,603.5094777075725,0.3060428906285041
4,Feriha - Magyar Szinkron,73200,806.8326252373602,0.2905216657902869
5,Nemzeti Filmintézet,37000,592.6500364855004,0.2701370100477092
6,Magyar Közöny Podcast,36800,340.2602918398957,0.26810493729447
7,Magyar LoLTV,25200,368.0140073806595,0.2585224707763198
8,Rubicon Történelem,17000,611.0293512146344,0.2499844452798242
9,Monster High Magyarország,17400,431.6618585138785,0.2494265832839044
10,Távoktatás magyar nyelven,16000,343.5329041934879,0.2467133956282314
11,Elit Oktatás,7850,189.34696217042415,0.2276626255183211
12,TotoFPV Tech,7040,212.9762817781565,0.2250436245677065
13,Magyar Streamer Bajnokság,6950,57.022155085599195,0.2238178631127304
14,Utazás BUSINESS CLASSban,4060,493.6621521792662,0.2128532527609662
15,Belső utazás (The Journey Hungary),4230,104.62845662963838,0.2115646266985393
16,Der Legionär Magyar,3790,211.4945924558164,0.2094353662460627
17,MKUK - Magyar Kanizsai Udvari Kamaraszínház,3170,519.849889624724,0.2066009755733159
18, Poroszka Magyar Zsolt -  White Horse Film Hungary,1970,316.3150684931507,0.1934096224588762
19,Magyar Viktor Stream,1930,59.59658208182289,0.1914428988970458
20,HUSZONEGY Bitcoin podcast,1390,84.80086268871315,0.1832971462330442
21,Anibarátok Podcast,1370,125.90080233406272,0.1831617586086942
22,"Trader Rock - Forex, Crypto, Tőzsde Podcast",869,52.80689655172414,0.1712638751691447
23,Magyar Funkcionális Fitnesz Sportági Szakszövetség,820,201.4859926918392,0.1706331405019629
24,12 Tone Music,702,264.3001422475107,0.1670584493340407
25,Magyar Tech Tippek,662,411.9864253393665,0.1664099559773345
26,Chaos Boys Hungary - Field of Cards podcast,643,32.34316770186335,0.1635498967944271
27,Magyar E-sport Szövetség,569,208.62105263157895,0.1614477877846071
28,Magyar Zene Nyaralója,533,65.24719101123596,0.1590050817897208
29, Magyar Gamer CJ,382,520.7702349869452,0.1531370328574048
30,Trove Film Collective,393,227.13197969543148,0.1522376012511011
31,Hungarian Mirror,348,224.97707736389685,0.1491488640227177
32,Magyar Humor,244,1408.7632653061223,0.1467845840505511
33,Magyar Lelátó,249,644.904,0.1430475299563033
34,"Izraelben utazás, csillag túrák magyarul.",211,242.2783018867925,0.1366487101521649
35,91. perc podcast,202,72.27586206896552,0.1346103145297584
36,Magyar Pedagógiai Társaság,194,46.68205128205128,0.1334515754831112
37,ablan star bebegim,125,266.04761904761904,0.1236376168647606
38,Magyar gamer,69,1163.7142857142858,0.1137610318007557
39,Magyar gamer,67,521.5147058823529,0.1094750223735002
40,Magyar Zene,68,401.2028985507246,0.1091734863809261
41,Magyar Krónikák,70,193.54929577464787,0.1087466622736081
42,Fitness Gazo (-A Magyar Súlyzó-),27,2507.3214285714284,0.0980658169992015
43,Csak egy magyar youtuber,22,67.82608695652173,0.0795760652987562
44,Magyar Gamer Róka,16,97.11764705882354,0.0721029291724551
